epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,732.789,0.64603,1.25204,0.35244,0.39581,0.82426,1,0.98668,0.995,0.80277,0.72411,0.7,0.54077,0.41828,0.70004,2.49237,0.25003,0.42011,0.79181,0.00143143,0.00143143,0.00143143
59,744.246,0.63761,1.12456,0.3592,0.39297,0.81903,1,0.99211,0.995,0.81447,0.84926,0.84532,0.73515,0.42491,0.67017,2.41655,0.24768,0.39026,0.79742,0.00142145,0.00142145,0.00142145
60,756.846,0.62191,1.22048,0.34491,0.39235,0.82326,1,0.94621,0.99262,0.81311,1,0.94621,0.99262,0.82371,0.61713,0.5886,0.24483,0.36816,0.78569,0.00141148,0.00141148,0.00141148
61,769.67,0.58958,1.06279,0.35448,0.37206,0.82372,1,0.99656,0.995,0.85381,1,0.99656,0.995,0.66453,0.58905,1.2373,0.24983,0.34024,0.78188,0.0014015,0.0014015,0.0014015
62,782.292,0.59569,1.00954,0.34176,0.37735,0.81275,0.99458,1,0.995,0.81449,0.87787,0.85,0.76979,0.54914,0.66843,1.67413,0.24769,0.37242,0.80087,0.00139153,0.00139153,0.00139153
63,794.819,0.59698,1.00008,0.34756,0.37659,0.82022,0.99729,1,0.995,0.81683,0.67397,0.65,0.47286,0.37607,0.58696,2.96598,0.24854,0.34675,0.78689,0.00138155,0.00138155,0.00138155
64,807.34,0.61362,1.04431,0.35909,0.38293,0.82156,0.99933,1,0.995,0.82125,0.94894,0.95,0.925,0.74097,0.62039,0.89047,0.2421,0.33079,0.79881,0.00137158,0.00137158,0.00137158
65,820.338,0.59383,1.03174,0.35341,0.37846,0.81491,1,0.99753,0.995,0.8105,0.99361,0.95,0.95179,0.77441,0.60566,0.7049,0.2406,0.32849,0.78592,0.0013616,0.0013616,0.0013616
66,832.103,0.61357,1.09304,0.36927,0.39044,0.82595,1,0.99932,0.995,0.80886,1,0.99932,0.995,0.77847,0.6161,0.81504,0.24419,0.31421,0.78795,0.00135163,0.00135163,0.00135163
67,844.259,0.58954,1.02121,0.34848,0.3684,0.82041,1,0.99425,0.995,0.79762,0.94972,0.94466,0.92487,0.74476,0.64346,1.0378,0.24417,0.35899,0.79454,0.00134165,0.00134165,0.00134165
68,856.754,0.60124,1.04179,0.35645,0.3725,0.82442,0.9479,1,0.99262,0.80249,0.56804,0.6,0.40913,0.29532,0.6819,3.93033,0.25472,0.35616,0.79243,0.00133168,0.00133168,0.00133168
69,869.336,0.59255,1.10701,0.35186,0.38012,0.81883,0.99016,0.95,0.99045,0.807,0.88547,0.85,0.86407,0.7804,0.61806,1.13875,0.23617,0.35511,0.78419,0.0013217,0.0013217,0.0013217
70,882.272,0.60976,0.9707,0.35576,0.38214,0.82183,0.99706,1,0.995,0.81627,0.59286,0.6,0.37182,0.30123,0.56793,3.41101,0.24764,0.35762,0.78686,0.00131173,0.00131173,0.00131173
71,894.855,0.59655,0.9521,0.33557,0.37579,0.82017,0.99565,1,0.995,0.8218,0.84301,0.85,0.78465,0.64575,0.6291,1.59968,0.23177,0.34959,0.78876,0.00130175,0.00130175,0.00130175
72,907.558,0.58333,0.93231,0.35353,0.35956,0.81761,1,0.99296,0.995,0.82803,0.6499,0.65,0.44175,0.31215,0.59134,3.33839,0.24127,0.35391,0.78678,0.00129177,0.00129177,0.00129177
73,920.481,0.59075,0.93002,0.35954,0.37259,0.81623,1,0.99782,0.995,0.82755,0.9499,0.94808,0.93368,0.77526,0.60165,0.93611,0.24003,0.3384,0.78432,0.0012818,0.0012818,0.0012818
74,932.307,0.57817,0.90284,0.34443,0.3665,0.81388,0.99844,1,0.995,0.83378,0.84727,0.85,0.75495,0.54657,0.586,1.80476,0.2358,0.35797,0.7816,0.00127183,0.00127183,0.00127183
75,943.837,0.5777,0.99318,0.35014,0.37001,0.80885,1,0.99961,0.995,0.83896,1,0.99961,0.995,0.80587,0.59042,0.74729,0.23771,0.3695,0.79068,0.00126185,0.00126185,0.00126185
